YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
2012,1.0,1,N,V,V,U,400.0,2,1970.0,4,13204,0
2013,1.0,1,N,V,V,U,400.0,2,1970.0,4,13204,0
2012,1.0,0,N,V,V,U,760.0,2,1960.0,4,13204,0
2012,1.0,0,N,V,V,U,400.0,2,1960.0,4,13204,0
2014,1.0,1,N,V,V,U,1230.0,2,1980.0,4,13204,0
2015,1.0,1,N,V,V,U,1230.0,2,1980.0,4,13204,0
2015,1.0,0,V,V,V,U,800.0,2,1960.0,4,13204,0
2012,1.0,0,N,V,V,U,220.0,2,1980.0,4,13204,0
2016,1.0,0,N,V,V,U,220.0,2,1980.0,4,13204,0
2013,1.0,0,N,V,V,U,3100.0,2,1980.0,4,13204,0
2014,0.915068493,0,N,V,V,U,3100.0,2,1980.0,4,13204,1
2013,1.0,0,N,V,V,U,900.0,2,1960.0,4,13204,0
2013,1.0,0,N,V,V,U,350.0,2,1980.0,4,13204,1
2013,1.0,0,V,N,O,R,890.0,2,1940.0,3,13205,1
2013,1.0,0,N,N,O,R,2520.0,2,1950.0,7,13205,0
2013,1.0,0,N,V,V,U,450.0,2,1970.0,4,13205,1
2014,1.0,0,N,V,V,U,450.0,2,1970.0,4,13205,0
2015,1.0,0,N,V,V,U,450.0,2,1970.0,4,13205,1
2016,0.745901639,0,N,V,V,U,1100.0,2,1960.0,4,13205,0
2012,1.0,0,N,V,V,U,820.0,2,1960.0,4,13205,0
2012,1.0,1,N,V,V,U,500.0,2,1960.0,4,13205,0
2014,1.0,0,N,V,V,U,400.0,2,1960.0,4,13205,0
2014,1.0,0,N,V,V,U,1231.0,2,1960.0,4,13205,0
2012,1.0,0,N,V,V,U,724.0,2,1960.0,4,13205,0
2016,0.99726776,0,N,V,V,U,724.0,2,1960.0,4,13205,0
2016,0.99726776,0,V,N,O,R,357.0,2,1900.0,4,13205,0
2014,1.0,1,N,V,V,U,600.0,2,1960.0,4,13205,0
2016,0.99726776,0,N,V,V,U,470.0,2,1960.0,4,13205,0
2012,1.0,0,V,N,O,R,1040.0,2,1960.0,5,13205,0
2012,1.0,0,V,N,O,R,755.0,2,1900.0,5,13205,0
2012,1.0,0,V,N,O,R,650.0,2,1940.0,5,13205,0
2013,1.0,0,V,N,O,R,650.0,2,1940.0,5,13205,0
2012,1.0,0,V,N,O,R,650.0,2,1900.0,5,13205,0
2013,1.0,0,V,N,O,R,1760.0,2,1960.0,8,13205,0
2013,1.0,0,V,N,O,R,564.0,2,1960.0,2,13205,0
2012,1.0,1,V,N,O,R,2027.0,2,1970.0,7,13205,1
2015,1.0,0,V,N,O,R,150.0,2,1900.0,2,13205,0
2014,1.0,0,V,N,O,R,1300.0,2,1965.0,5,13205,0
2012,0.754098361,0,V,N,O,R,1000.0,2,1900.0,5,13205,0
2013,0.293150685,1,V,N,O,R,924.0,2,1900.0,4,13205,0
2012,0.571038251,1,V,N,O,R,400.0,2,1930.0,2,13205,0
2013,1.0,0,V,V,V,U,546.0,2,1960.0,4,13205,0
2015,1.0,0,V,N,O,R,7200.0,2,1960.0,10,13205,1
2012,1.0,0,V,N,O,R,526.0,2,1900.0,3,13205,0
2012,0.259562842,0,V,N,O,R,1425.0,2,1950.0,7,13205,0
2014,1.0,0,V,N,O,R,590.0,2,1900.0,5,13205,1
2014,1.0,0,V,N,O,R,1425.0,2,1950.0,7,13205,0
2015,1.0,0,V,N,O,R,330.0,2,1960.0,2,13205,0
2014,0.753424658,0,V,N,O,R,325.0,2,1930.0,4,13205,0
2016,1.0,0,V,N,O,R,325.0,2,1930.0,4,13205,0
2014,1.0,1,V,N,O,R,890.0,2,1900.0,5,13205,1
2015,1.0,0,V,N,O,R,450.0,2,1920.0,5,13205,0
2013,1.0,0,V,N,O,R,630.0,2,1900.0,5,13205,0
2014,1.0,0,V,V,V,U,450.0,2,1960.0,4,13205,0
2014,1.0,0,N,V,V,U,570.0,2,1980.0,4,13205,0
2012,1.0,0,V,V,V,U,400.0,2,1960.0,4,13205,0
2013,0.0,0,V,V,V,U,1400.0,2,1970.0,4,13205,0
2015,1.0,0,V,N,O,R,350.0,2,1900.0,4,13205,0
2013,1.0,0,V,V,V,U,360.0,2,1960.0,4,13205,0
2015,1.0,0,N,V,V,U,1200.0,2,1960.0,4,13205,0
2015,1.0,0,V,V,V,U,670.0,2,1970.0,4,13205,0
2013,1.0,0,V,V,V,U,350.0,2,1960.0,4,13205,0
2014,0.657534247,0,V,V,V,U,350.0,2,1960.0,4,13205,0
2016,0.99726776,0,V,N,O,R,4200.0,2,1960.0,8,13205,1
2012,1.0,0,V,N,O,R,450.0,2,1900.0,4,13205,0
2016,0.994535519,0,V,N,O,R,320.0,2,1920.0,4,13205,1
2015,1.0,0,N,V,V,U,400.0,2,1960.0,4,13205,0
2012,1.0,0,N,V,V,U,520.0,2,1960.0,4,13205,0
2016,1.0,0,V,N,O,R,765.0,2,1900.0,8,13205,0
2012,1.0,0,V,N,O,R,390.0,2,1900.0,3,13205,0
2016,1.0,0,V,N,O,R,390.0,2,1900.0,3,13205,0
2013,1.0,0,V,N,O,R,600.0,2,1900.0,5,13205,0
2013,0.328767123,1,V,V,V,U,480.0,2,1960.0,4,13205,0
2014,1.0,0,N,V,V,U,5195.0,2,1960.0,4,13205,0
2013,1.0,0,N,V,V,U,1414.0,2,1960.0,4,13205,1
2014,1.0,0,N,V,V,U,1414.0,2,1960.0,4,13205,0
2015,1.0,0,N,V,V,U,720.0,2,1960.0,4,13205,0
2016,0.99726776,0,N,V,V,U,720.0,2,1960.0,4,13205,0
2014,0.443835616,0,N,V,V,U,345.0,2,1960.0,4,13205,0
2013,1.0,0,V,N,O,R,700.0,2,1920.0,5,13205,0
2012,1.0,0,N,V,V,U,800.0,2,1960.0,4,13205,0
2014,1.0,0,N,V,V,U,551.0,2,1960.0,4,13205,0
2015,1.0,0,V,V,V,U,490.0,2,1970.0,4,13205,1
2014,1.0,0,V,V,V,U,716.0,2,1960.0,4,13205,1
2013,1.0,0,N,V,V,U,450.0,2,1960.0,4,13205,0
2015,1.0,0,N,V,V,U,900.0,2,1960.0,4,13205,1
2013,1.0,0,N,V,V,U,2950.0,2,1960.0,4,13205,0
2015,1.0,0,N,V,V,U,1300.0,2,1960.0,4,13205,1
2012,1.0,1,N,V,V,U,450.0,2,1970.0,4,13205,1
2015,1.0,0,V,N,O,R,3735.0,2,2003.0,6,13205,0
2013,1.0,0,N,V,V,U,1166.0,2,1960.0,4,13205,0
2016,0.99726776,0,N,V,V,U,1166.0,2,1960.0,4,13205,1
2016,0.99726776,0,V,N,O,R,1730.0,2,1978.0,6,13205,0
2013,1.0,1,V,N,O,R,250.0,2,1960.0,3,13205,1
2014,1.0,1,V,N,O,R,250.0,2,1960.0,3,13205,0
2016,1.0,1,V,N,O,R,250.0,2,1960.0,3,13205,0
2013,1.0,0,N,V,V,U,1000.0,2,1960.0,4,13206,0
2016,0.99726776,0,N,V,V,U,1100.0,2,1960.0,4,13206,0
2014,1.0,1,N,V,V,U,550.0,2,1980.0,4,13206,0
2016,0.99726776,0,V,N,O,R,220.0,2,1950.0,3,13206,0
2015,1.0,0,N,V,V,U,800.0,2,1960.0,4,13206,1
2012,1.0,0,N,N,O,R,3040.0,2,1960.0,6,13206,0
2013,1.0,0,N,V,V,U,1600.0,2,1960.0,4,13206,0
2014,1.0,0,N,V,V,U,1600.0,2,1960.0,4,13206,1
2015,1.0,0,V,N,O,R,720.0,2,1900.0,5,13206,0
2013,1.0,0,N,V,V,U,450.0,2,1970.0,4,13206,0
2013,1.0,0,N,V,V,U,370.0,2,1960.0,4,13206,1
2014,1.0,0,V,N,O,R,690.0,2,1900.0,5,13206,0
2015,1.0,0,V,N,O,R,1820.0,2,1900.0,6,13206,0
2012,1.0,0,N,V,V,U,605.0,2,1960.0,4,13206,0
2014,1.0,0,N,V,V,U,605.0,2,1960.0,4,13206,0
2013,1.0,1,V,N,O,R,1320.0,2,1930.0,6,13206,0
2016,1.0,1,V,N,O,R,1320.0,2,1930.0,6,13206,0
2012,1.0,1,V,N,O,R,1388.0,2,1945.0,5,13206,0
2014,1.0,1,V,N,O,R,1388.0,2,1945.0,5,13206,0
2014,1.0,0,V,N,O,R,865.0,2,1960.0,6,13206,0
2016,1.0,0,V,N,O,R,700.0,2,1960.0,5,13206,0
2016,1.0,0,V,N,O,R,880.0,2,1900.0,4,13206,0
2012,1.0,1,V,N,O,R,10686.0,2,1976.0,10,13206,0
2012,1.0,0,V,N,O,R,1215.0,2,1970.0,6,13206,0
2013,1.0,0,V,N,O,R,385.0,2,1930.0,4,13206,0
2012,1.0,0,V,N,O,R,441.0,2,1940.0,5,13206,0
2014,0.671232877,0,V,N,O,R,1500.0,2,1960.0,5,13206,0
2014,1.0,0,V,N,O,R,670.0,2,1900.0,5,13206,0
2013,1.0,0,N,V,V,U,952.0,2,1960.0,4,13206,0
2014,1.0,0,V,N,O,R,499.0,2,1970.0,4,13206,1
2013,1.0,0,V,N,O,R,470.0,2,1900.0,5,13206,0
2012,1.0,0,V,N,O,R,5966.0,2,1955.0,9,13206,1
2013,1.0,0,V,N,O,R,5966.0,2,1955.0,9,13206,1
2014,1.0,0,V,N,O,R,600.0,2,1900.0,5,13206,0
2014,1.0,0,V,N,O,R,800.0,2,1900.0,5,13206,0
2014,1.0,0,V,N,O,R,1200.0,2,1939.0,7,13206,0
2016,0.494535519,1,V,N,O,R,480.0,2,1930.0,4,13206,0
2013,0.728767123,0,N,V,V,U,980.0,2,1960.0,4,13206,0
2012,0.166666667,0,V,N,O,R,450.0,2,1920.0,2,13206,0
2015,1.0,0,V,N,O,R,550.0,2,1900.0,5,13206,0
2015,1.0,0,V,N,O,R,370.0,2,1940.0,2,13206,0
2014,0.794520548,0,V,N,O,R,480.0,2,1930.0,4,13206,0
2014,0.794520548,0,V,N,O,R,600.0,2,1930.0,5,13206,0
2015,1.0,0,V,N,O,R,280.0,2,1900.0,4,13206,0
2016,0.431693989,1,V,N,O,R,300.0,2,1920.0,3,13206,0
2016,0.25136612,0,V,N,O,R,613.0,2,1930.0,6,13206,0
2013,1.0,0,V,V,V,U,850.0,2,1960.0,4,13206,0
2012,1.0,0,V,V,V,U,700.0,2,1960.0,4,13206,0
2012,1.0,0,V,V,V,U,2600.0,2,1960.0,4,13206,1
2016,1.0,0,N,V,V,U,550.0,2,1960.0,4,13206,0
2013,1.0,0,V,V,V,U,2250.0,2,1960.0,4,13206,0
2013,1.0,0,N,V,V,U,1220.0,2,1960.0,4,13206,0
2015,1.0,0,N,V,V,U,1220.0,2,1960.0,4,13206,0
2013,0.0,0,N,V,V,U,1705.0,2,1960.0,4,13206,0
2012,1.0,0,V,V,V,U,640.0,2,1960.0,4,13206,0
2013,1.0,0,V,V,V,U,1192.0,2,1960.0,4,13206,0
2013,0.35890411,0,V,V,V,U,340.0,2,1960.0,4,13206,0
2013,0.915068493,0,V,N,O,R,500.0,2,1900.0,5,13206,0
2014,1.0,0,V,V,V,U,1950.0,2,1960.0,4,13206,0
2014,1.0,0,N,V,V,U,550.0,2,1960.0,4,13206,0
2014,0.410958904,0,N,V,V,U,1100.0,2,1960.0,4,13206,0
2015,0.183561644,1,V,V,V,U,1445.0,2,1960.0,4,13206,0
2012,0.0,0,V,V,V,U,420.0,2,1970.0,4,13206,1
2013,0.832876712,0,V,V,V,U,240.0,2,1960.0,4,13206,0
2012,1.0,0,V,V,V,U,1830.0,2,1960.0,4,13206,0
2015,0.0,0,V,V,V,U,390.0,2,1970.0,4,13206,0
2014,0.915068493,0,V,V,V,U,640.0,2,1960.0,4,13206,1
2014,0.0,0,V,V,V,U,300.0,2,1970.0,4,13206,0
2012,1.0,0,V,V,V,U,230.0,2,1960.0,4,13206,0
2016,0.030054645,0,V,N,O,R,2300.0,2,1934.0,7,13206,0
2012,1.0,0,N,V,V,U,2400.0,2,1970.0,4,13206,1
2012,1.0,0,V,N,O,R,450.0,2,1930.0,4,13206,0
2012,1.0,0,V,V,V,U,850.0,2,1960.0,4,13206,0
2014,1.0,0,V,N,O,R,280.0,2,1900.0,4,13206,0
2014,1.0,0,N,V,V,U,1500.0,2,1960.0,4,13206,0
2015,0.219178082,1,N,V,V,U,2400.0,2,1970.0,4,13206,0
2016,1.0,0,N,V,V,U,600.0,2,1960.0,4,13206,0
2012,1.0,0,N,V,V,U,238.0,2,1960.0,4,13206,0
2012,1.0,0,V,V,V,U,1650.0,2,1960.0,4,13206,1
2015,1.0,0,N,V,V,U,2000.0,2,1960.0,4,13206,1
2012,1.0,0,N,V,V,U,920.0,2,1960.0,4,13206,0
2013,0.778082192,0,V,V,V,U,450.0,2,1960.0,4,13206,0
2016,0.99726776,0,N,V,V,U,240.0,2,1960.0,4,13206,0
2013,0.0,0,N,V,V,U,150.0,2,1960.0,4,13206,0
2013,1.0,0,V,V,V,U,1620.0,2,1960.0,4,13206,0
2014,1.0,0,V,V,V,U,1620.0,2,1960.0,4,13206,0
2012,1.0,0,N,V,V,U,390.0,2,1960.0,4,13206,0
2016,1.0,1,V,V,V,U,950.0,2,1980.0,4,13206,0
2012,1.0,0,N,V,V,U,900.0,2,1960.0,4,13206,0
2015,1.0,1,V,V,V,U,760.0,2,1960.0,4,13206,0
2013,1.0,1,N,V,V,U,250.0,2,1960.0,4,13206,0
2012,1.0,1,N,V,V,U,350.0,2,1980.0,4,13206,0
2012,1.0,1,V,V,V,U,900.0,2,1980.0,4,13206,0
2014,1.0,0,N,V,V,U,600.0,2,1960.0,4,13206,1
2012,1.0,0,N,V,V,U,475.0,2,1960.0,4,13206,1
2013,1.0,1,V,N,O,R,400.0,2,1930.0,4,13206,0
2014,1.0,1,V,N,O,R,400.0,2,1930.0,4,13206,1
2014,1.0,1,V,N,O,R,743.0,2,1890.0,6,13206,0
2014,1.0,0,N,V,V,U,1105.0,2,1960.0,4,13207,0
2014,0.323287671,0,N,V,V,U,300.0,2,1960.0,4,13207,0
2013,1.0,0,V,N,O,R,650.0,2,1940.0,3,13207,0
2012,1.0,0,V,V,V,U,448.0,2,1960.0,4,13207,0
2012,1.0,0,N,V,V,U,1800.0,2,1960.0,4,13207,0
2013,1.0,0,N,V,V,U,1800.0,2,1960.0,4,13207,0
2013,1.0,0,N,V,V,U,140.0,2,1960.0,4,13207,1
2013,1.0,0,V,N,O,R,396.0,2,1900.0,5,13207,0
2015,1.0,0,V,N,O,R,396.0,2,1900.0,5,13207,0
2014,1.0,0,N,V,V,U,1740.0,2,1960.0,4,13207,1
2012,1.0,0,N,V,V,U,510.0,2,1960.0,4,13207,0
2015,1.0,0,N,V,V,U,510.0,2,1960.0,4,13207,0
2014,1.0,0,N,V,V,U,350.0,2,1960.0,4,13207,0
2012,1.0,0,N,V,V,U,700.0,2,1960.0,4,13207,0
2013,1.0,0,N,V,V,U,700.0,2,1960.0,4,13207,1
2014,1.0,0,N,V,V,U,700.0,2,1960.0,4,13207,0
2012,1.0,0,N,V,V,U,825.0,2,1960.0,4,13207,0
2013,0.41369863,0,V,V,V,U,230.0,2,1980.0,4,13207,0
2012,1.0,0,V,N,O,R,2280.0,2,1970.0,9,13207,0
2013,1.0,0,V,N,O,R,2280.0,2,1970.0,9,13207,0
2015,1.0,0,V,N,O,R,2280.0,2,1970.0,9,13207,0
2013,1.0,0,V,N,O,R,5567.0,2,1960.0,6,13207,0
2012,1.0,1,V,N,O,R,960.0,2,1950.0,5,13207,0
2015,1.0,0,V,N,O,R,321.0,2,1900.0,3,13207,0
2014,1.0,0,N,V,V,U,472.0,2,1960.0,4,13207,0
2016,0.99726776,0,V,N,O,R,660.0,2,1950.0,6,13207,1
2016,0.99726776,1,V,N,O,R,780.0,2,2015.0,3,13207,0
2016,0.166666667,1,V,N,O,R,900.0,2,1975.0,3,13207,0
2013,1.0,0,V,N,O,R,516.0,2,1900.0,5,13207,0
2015,1.0,0,N,V,V,U,1600.0,2,1960.0,4,13207,0
2013,0.0,0,V,V,V,U,450.0,2,1970.0,4,13207,1
2015,0.0,0,V,V,V,U,450.0,2,1970.0,4,13207,0
2014,1.0,0,N,V,V,U,1750.0,2,1960.0,4,13207,0
2013,1.0,0,N,V,V,U,320.0,2,1960.0,4,13207,0
2013,1.0,0,N,V,V,U,4700.0,2,1988.0,4,13207,0
2015,1.0,0,N,V,V,U,480.0,2,1960.0,4,13207,0
2013,1.0,0,V,V,V,U,820.0,2,1960.0,4,13207,0
2012,1.0,0,N,V,V,U,100.0,2,1960.0,4,13207,0
2014,1.0,0,N,V,V,U,100.0,2,1960.0,4,13207,0
2015,1.0,0,N,V,V,U,1500.0,2,1960.0,4,13207,0
2014,1.0,0,N,V,V,U,660.0,2,1960.0,4,13207,0
2012,1.0,0,N,V,V,U,450.0,2,1960.0,4,13207,0
2012,1.0,0,N,V,V,U,550.0,2,1960.0,4,13207,0
2012,1.0,0,V,V,V,U,570.0,2,1960.0,4,13207,0
2016,1.0,1,V,V,V,U,1600.0,2,1960.0,4,13207,0
2015,1.0,1,N,V,V,U,401.0,2,1970.0,4,13207,0
2016,0.393442623,1,N,V,V,U,401.0,2,1970.0,4,13207,0
2016,0.475409836,1,N,V,V,U,700.0,2,1960.0,4,13207,0
2012,1.0,1,N,V,V,U,2000.0,2,1980.0,4,13207,0
2013,0.328767123,1,N,V,V,U,2000.0,2,1980.0,4,13207,0
2015,1.0,0,N,V,V,U,900.0,2,1960.0,4,13207,0
2014,1.0,0,V,N,O,R,2100.0,2,1900.0,8,13207,1
2015,1.0,0,V,N,O,R,2100.0,2,1900.0,8,13207,1
2016,0.99726776,0,V,N,O,R,2100.0,2,1900.0,8,13207,0
2012,1.0,1,V,V,V,U,880.0,2,1960.0,4,13207,0
2016,1.0,1,N,V,V,U,800.0,2,1960.0,4,13207,0
2012,1.0,0,V,N,O,R,3880.0,2,2006.0,6,13208,1
2012,1.0,0,N,V,V,U,360.0,2,1960.0,4,13208,0
2013,1.0,0,N,V,V,U,360.0,2,1960.0,4,13208,0
2015,1.0,0,N,V,V,U,1050.0,2,1960.0,4,13208,1
2016,0.99726776,0,N,V,V,U,1050.0,2,1960.0,4,13208,0
2012,1.0,0,N,V,V,U,300.0,2,1960.0,4,13208,1
2014,1.0,0,N,V,V,U,3900.0,2,1960.0,4,13208,0
2013,1.0,0,N,N,O,R,4350.0,2,1960.0,9,13208,0
2012,1.0,0,V,N,O,R,3283.0,2,1980.0,5,13208,0
2014,1.0,0,V,N,O,R,1200.0,2,1920.0,4,13208,1
2016,1.0,0,V,N,O,R,4100.0,2,1970.0,10,13208,0
2015,1.0,0,V,N,O,R,380.0,2,1960.0,4,13208,0
2012,1.0,1,N,V,V,U,510.0,2,1960.0,4,13208,0
2012,1.0,0,V,N,O,R,9000.0,2,2010.0,10,13208,0
2012,1.0,0,V,N,O,R,3550.0,2,2001.0,5,13208,0
2013,1.0,0,V,N,O,R,1100.0,2,1930.0,4,13208,0
2013,1.0,0,V,N,O,R,1320.0,2,1950.0,8,13208,0
2013,0.465753425,0,V,N,O,R,2500.0,2,1960.0,10,13208,0
2014,0.794520548,0,V,N,O,R,2600.0,2,1960.0,4,13208,1
2014,1.0,0,V,N,O,R,3100.0,2,1930.0,4,13208,0
2015,0.0,0,V,V,V,U,870.0,2,1970.0,4,13208,0
2014,0.0,0,V,V,V,U,380.0,2,1970.0,4,13208,0
2014,0.084931507,1,V,N,O,R,3300.0,2,1900.0,9,13208,0
2012,1.0,1,N,V,V,U,150.0,2,1970.0,4,13208,0
2012,1.0,0,V,V,V,U,2400.0,2,1960.0,4,13208,1
2015,1.0,0,N,V,V,U,3281.0,2,1960.0,4,13208,1
2012,1.0,0,N,V,V,U,6468.0,2,1980.0,4,13208,0
2015,0.328767123,0,N,V,V,U,6468.0,2,1980.0,4,13208,0
2012,1.0,0,V,V,V,U,1070.0,2,1980.0,4,13208,0
2013,1.0,0,V,V,V,U,1070.0,2,1980.0,4,13208,1
2014,1.0,0,N,V,V,U,6800.0,2,1960.0,4,13208,0
2013,0.747945205,1,V,V,V,U,2000.0,2,1960.0,4,13208,1
2012,1.0,0,N,V,V,U,1000.0,2,1960.0,4,13208,0
2016,0.99726776,0,N,V,V,U,710.0,2,1960.0,4,13208,0
2013,1.0,1,N,V,V,U,1500.0,2,1970.0,4,13208,0
2014,1.0,1,N,V,V,U,1700.0,2,1960.0,4,13208,0
2015,1.0,0,N,V,V,U,2025.0,2,1960.0,4,13209,0
2013,1.0,0,N,V,V,U,6657.0,2,1988.0,4,13209,1
2013,1.0,0,N,V,V,U,3000.0,2,1980.0,4,13209,0
2014,1.0,0,V,N,O,R,824.0,2,1950.0,3,13209,0
2013,0.224657534,0,N,V,V,U,370.0,2,1960.0,4,13209,0
2014,1.0,0,N,V,V,U,1793.0,2,1960.0,4,13209,0
2016,1.0,0,N,V,V,U,150.0,2,1960.0,4,13209,0
2012,1.0,0,V,N,O,R,2255.0,2,1960.0,10,13209,0
2014,0.731506849,0,V,N,O,R,1765.0,2,1970.0,6,13209,1
2012,1.0,0,N,V,V,U,1980.0,2,1960.0,4,13209,0
2013,1.0,0,N,V,V,U,2270.0,2,1960.0,4,13209,0
2015,1.0,0,N,V,V,U,2270.0,2,1960.0,4,13209,1
2016,1.0,0,N,V,V,U,2270.0,2,1960.0,4,13209,0
2012,0.191256831,0,V,V,V,U,4914.0,2,1980.0,4,13209,0
2015,1.0,0,V,N,O,R,2724.0,2,1960.0,5,13209,0
2014,1.0,0,V,N,O,R,12500.0,2,1970.0,4,13209,1
2013,1.0,0,V,N,O,R,7259.0,2,2009.0,8,13209,0
2014,1.0,0,V,N,O,R,7259.0,2,2009.0,8,13209,1
2016,1.0,1,V,N,O,R,600.0,2,1970.0,2,13209,0
2012,1.0,0,V,N,O,R,85.0,2,1950.0,1,13209,0
2015,1.0,0,V,N,O,R,9122.0,2,1999.0,6,13209,1
2014,1.0,0,V,N,O,R,2300.0,2,1970.0,5,13209,0
2016,1.0,0,V,N,O,R,1900.0,2,1960.0,10,13209,0
2014,0.0,0,V,V,V,U,600.0,2,1980.0,4,13209,0
2013,1.0,0,V,V,V,U,1222.0,2,1960.0,4,13209,0
2012,1.0,0,V,V,V,U,6766.0,2,1960.0,4,13209,1
2016,0.99726776,0,N,V,V,U,2530.0,2,1960.0,4,13209,0
2014,1.0,0,V,V,V,U,1230.0,2,1960.0,4,13209,0
2016,0.99726776,0,N,V,V,U,1300.0,2,1960.0,4,13209,0
2014,1.0,0,V,N,O,R,5873.0,2,1970.0,10,13209,1
2015,1.0,0,V,N,O,R,5873.0,2,1970.0,10,13209,1
2014,1.0,0,N,V,V,U,1920.0,2,1960.0,4,13209,0
2016,0.99726776,0,N,V,V,U,1880.0,2,1960.0,4,13209,0
2014,1.0,0,N,V,V,U,2255.0,2,1960.0,4,13209,0
2015,1.0,0,N,V,V,U,2255.0,2,1960.0,4,13209,0
2014,1.0,0,N,V,V,U,1182.0,2,1960.0,4,13209,0
2016,1.0,0,N,V,V,U,1182.0,2,1960.0,4,13209,0
2014,1.0,0,N,V,V,U,4080.0,2,1988.0,4,13209,1
2015,1.0,0,V,N,O,R,3600.0,2,1970.0,2,13210,0
2014,0.747945205,1,N,V,V,U,490.0,2,1960.0,4,13210,0
2012,0.467213115,1,N,V,V,U,100.0,2,1980.0,4,13210,0
2013,1.0,0,N,V,V,U,6100.0,2,1980.0,4,13210,0
2015,0.493150685,0,V,N,O,R,1500.0,2,2010.0,10,13210,0
2015,1.0,0,V,N,O,R,4500.0,2,1960.0,6,13210,0
2013,1.0,0,V,N,O,R,430.0,2,1960.0,3,13210,0
2014,1.0,1,V,N,O,R,380.0,2,1910.0,3,13210,0
2012,1.0,0,V,N,O,R,4914.0,2,1960.0,5,13210,1
2016,1.0,0,V,N,O,R,4914.0,2,1960.0,5,13210,1
2012,1.0,0,V,N,O,R,8485.0,2,2011.0,7,13210,0
2014,1.0,0,V,N,O,R,8485.0,2,2011.0,7,13210,1
2016,0.99726776,0,V,N,O,R,8485.0,2,2011.0,7,13210,1
2015,1.0,0,V,N,O,R,3300.0,2,1998.0,5,13210,1
2016,1.0,0,V,N,O,R,600.0,2,1930.0,5,13210,0
2013,0.0,0,V,V,V,U,450.0,2,1970.0,4,13210,0
2016,0.994535519,0,V,V,V,U,400.0,2,1960.0,4,13210,0
2015,1.0,0,V,V,V,U,190.0,2,1960.0,4,13210,0
2016,0.245901639,0,V,V,V,U,190.0,2,1960.0,4,13210,0
2015,1.0,0,N,V,V,U,1000.0,2,1960.0,4,13211,0
2013,1.0,0,V,N,O,R,800.0,2,1960.0,3,13211,0
2012,1.0,0,V,V,V,U,353.0,2,1960.0,4,13211,0
2013,1.0,0,V,N,O,R,900.0,2,1850.0,3,13211,1
2015,1.0,0,V,N,O,R,355.0,2,1970.0,2,13211,0
2013,1.0,0,V,N,O,R,522.0,2,1964.0,2,13211,0
2015,1.0,0,V,N,O,R,522.0,2,1964.0,2,13211,0
2013,1.0,0,V,N,O,R,541.0,2,1900.0,3,13211,0
2015,1.0,0,V,N,O,R,8100.0,2,2003.0,6,13212,1
2016,0.99726776,0,N,V,V,U,600.0,2,1960.0,4,13212,0
2012,1.0,1,V,N,O,R,4069.0,2,2001.0,5,13212,1
2016,0.99726776,0,V,N,O,R,2250.0,2,2011.0,4,13212,0
2013,1.0,1,V,N,O,R,384.0,2,1908.0,3,13212,0
2015,1.0,0,V,V,V,U,456.0,2,1980.0,4,13212,0
2013,1.0,0,N,V,V,U,750.0,2,1980.0,4,13212,0
2013,0.978082192,0,V,V,V,U,323.0,2,1960.0,4,13212,0
2013,1.0,0,N,V,V,U,700.0,2,1960.0,4,13213,0
2014,1.0,0,N,V,V,U,700.0,2,1960.0,4,13213,0
2013,0.912328767,0,V,N,O,R,4870.0,2,1948.0,10,13213,1
2012,0.99726776,0,V,N,O,R,4523.0,2,2009.0,5,13213,1
2012,1.0,0,V,N,O,R,4322.0,2,2011.0,5,13213,0
2012,0.901639344,1,V,N,O,R,6300.0,2,1973.0,5,13213,0
2013,1.0,1,V,N,O,R,6300.0,2,1973.0,5,13213,0
2015,1.0,1,V,N,O,R,6300.0,2,1973.0,5,13213,0
2012,0.546448087,1,V,N,O,R,6000.0,2,2012.0,3,13213,0
2013,0.093150685,0,V,N,O,R,180.0,2,1860.0,2,13213,0
2015,1.0,0,V,V,V,U,2126.0,2,1960.0,4,13213,0
2014,1.0,0,V,V,V,U,2600.0,2,1960.0,4,13213,1
2012,1.0,0,N,V,V,U,1891.0,2,1980.0,4,13213,1
2015,1.0,0,N,V,V,U,1891.0,2,1980.0,4,13213,0
2013,1.0,0,N,V,V,U,1891.0,2,1980.0,4,13213,1
2016,1.0,1,V,N,O,R,3500.0,2,1900.0,7,13213,1
2013,1.0,1,V,N,O,R,900.0,2,1999.0,3,13213,0
2014,1.0,0,N,V,V,U,7500.0,2,1980.0,4,13213,1
2015,1.0,0,N,V,V,U,7500.0,2,1980.0,4,13213,0
2013,1.0,0,V,N,O,R,320.0,2,1950.0,3,13213,0
2013,1.0,1,V,V,V,U,16859.0,2,1980.0,4,13213,0
2013,1.0,1,V,N,O,R,8900.0,2,2012.0,6,13214,0
2015,1.0,0,V,N,O,R,580.0,2,1950.0,4,13214,1
2013,1.0,0,V,N,O,R,534.0,2,1910.0,4,13214,0
2015,1.0,0,V,N,O,R,534.0,2,1910.0,4,13214,0
2016,1.0,0,V,N,O,R,534.0,2,1910.0,4,13214,0
2012,1.0,0,V,V,V,U,780.0,2,1960.0,4,13214,0
2016,0.99726776,0,N,V,V,U,1377.0,2,1960.0,4,13214,0
2013,1.0,0,N,V,V,U,1920.0,2,1960.0,4,13214,0
